Continuing training from epoch 19 with edge weight 3.0
E19 | Step 1110/13500 | Loss: 11.4793 | l1: 1.0127 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0232 | edge: 0.4434 | saturation: 0.0000
E19 | Step 1120/13500 | Loss: 12.3314 | l1: 1.7912 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0783 | edge: 0.4619 | saturation: 0.0000
E19 | Step 1130/13500 | Loss: 12.4109 | l1: 1.5890 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0521 | edge: 0.7698 | saturation: 0.0000
E19 | Step 1140/13500 | Loss: 12.5271 | l1: 1.4788 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0537 | edge: 0.7974 | saturation: 0.1973
E19 | Step 1150/13500 | Loss: 11.8388 | l1: 1.1829 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0373 | edge: 0.6029 | saturation: 0.0156
E19 | Step 1160/13500 | Loss: 11.9499 | l1: 1.3294 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0373 | edge: 0.5829 | saturation: 0.0003
E19 | Step 1170/13500 | Loss: 11.6022 | l1: 1.1225 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0278 | edge: 0.4519 | saturation: 0.0000
E19 | Step 1180/13500 | Loss: 11.6829 | l1: 0.9835 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0260 | edge: 0.6733 | saturation: 0.0000
E19 | Step 1190/13500 | Loss: 11.9983 | l1: 1.2367 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0338 | edge: 0.6764 | saturation: 0.0514
E19 | Step 1200/13500 | Loss: 12.0215 | l1: 1.1956 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0349 | edge: 0.7910 | saturation: 0.0000
E19 | Step 1210/13500 | Loss: 12.1435 | l1: 1.3279 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0491 | edge: 0.7665 | saturation: 0.0000
E19 | Step 1220/13500 | Loss: 11.9649 | l1: 1.3456 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0495 | edge: 0.5698 | saturation: 0.0000
E19 | Step 1230/13500 | Loss: 11.6691 | l1: 0.9509 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0232 | edge: 0.6950 | saturation: 0.0000
E19 | Step 1240/13500 | Loss: 11.8960 | l1: 1.1939 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0399 | edge: 0.6622 | saturation: 0.0000
E19 | Step 1250/13500 | Loss: 11.7517 | l1: 1.1088 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0304 | edge: 0.5425 | saturation: 0.0701
E19 | Step 1260/13500 | Loss: 11.9674 | l1: 1.0711 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0372 | edge: 0.8591 | saturation: 0.0000
